Listing_ID,Title,Price,URL,Модел,Цена,Състояние,Тип,Произведено,Тип двигател,Мощност[к.с.],Скоростна кутия,Цвят,Пробег,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,
13536030,Jeep Wrangler * АВТО КРЕДИТ* ЦЕНА ДО БГ * CARFAX *,"43 999 лв. - 22 496,33 €Цената е с включено ДДС",https://www.auto.bg/obiava/13536030/jeep-wrangler-avto-kredit-tsena-do-bg-carfax,Jeep Wrangler,43 999 лв.,Употребяван,Джип,септември 2018 г.,Jeep Wrangler Бензин,285 к.с,Автоматична,,96420 км,,,,,,,,,,,,,,,
21718494,BMW 545,"13 500 лв. - 6 902,44 €Не се начислява ДДС",https://www.auto.bg/obiava/21718494/bmw-545,BMW 545,13 500 лв.,Употребяван,Седан,ноември 2004 г.,BMW 545 Бензин,,Автоматична,,264000 км,,,,,,,,,,,,,,,
50052293,Mercedes-Benz A 220 * AMG PKG /4MATIC P/ROOF NAVI B/SPOT CAMERA *,"42 350 лв. - 21 653,21 €Цената е с включено ДДС",https://www.auto.bg/obiava/50052293/mercedes-benz-a-220-amg-pkg-4matic-p-roof-navi-b-spot-camera,Mercedes-Benz A 220,42 350 лв.,Употребяван,Седан,януари 2021 г.,Mercedes-Benz A 220 Бензин,,Автоматична,,108068 км,,,,,,,,,,,,,,,
81568603,Mercedes-Benz C 220 D 4 Matic,"30 000 лв. - 15 338,76 €Не се начислява ДДС",https://www.auto.bg/obiava/81568603/mercedes-benz-c-220-d-4-matic,Mercedes-Benz C 220,30 000 лв.,Употребяван,Комби,февруари 2016 г.,Mercedes-Benz C 220 Дизел,170 к.с,Автоматична,Бял,313000 км,,,,,,,,,,,,,,,
39198334,VW Polo 1.2 55hp 160000km,"2 999 лв. - 1 533,36 €Не се начислява ДДС",https://www.auto.bg/obiava/39198334/vw-polo-1-2-55hp-160000km,VW Polo,2 999 лв.,Употребяван,Хечбек,януари 2003 г.,VW Polo Бензин,55 к.с,Ръчна,Черен,160000 км,,,,,,,,,,,,,,,
17166040,Toyota Avensis 2.0D4D 126hp,"5 350 лв. - 2 735,41 €Не се начислява ДДС",https://www.auto.bg/obiava/17166040/toyota-avensis-2-0d4d-126hp,Toyota Avensis,5 350 лв.,Употребяван,Комби,ноември 2007 г.,Toyota Avensis Дизел,126 к.с,Ръчна,Сив,214444 км,,,,,,,,,,,,,,,
73005191,Audi A4 2.7 TDI 190к.с.,"15 000 лв. - 7 669,38 €Не се начислява ДДС",https://www.auto.bg/obiava/73005191/audi-a4-2-7-tdi-190k-s,Audi A4,15 000 лв.,Употребяван,Седан,август 2009 г.,Audi A4 Дизел,190 к.с,Автоматична,Сив,242047 км,,,,,,,,,,,,,,,
60877153,Audi A4 2.0TDI 143hp Navi / Recaro,"8 850 лв. - 4 524,93 €Не се начислява ДДС",https://www.auto.bg/obiava/60877153/audi-a4-2-0tdi-143hp-navi-recaro,Audi A4,8 850 лв.,Употребяван,Комби,януари 2009 г.,Audi A4 Дизел,143 к.с,Ръчна,Черен,221000 км,,,,,,,,,,,,,,,
42324607,Audi A4 * PROGRESSIV /S-LINE/LEATHER/SUNROOF/B/SPOT CA,"34 100 лв. - 17 435,05 €Цената е с включено ДДС",https://www.auto.bg/obiava/42324607/audi-a4-progressiv-s-line-leather-sunroof-b-spot-ca,Audi A4,34 100 лв.,Употребяван,Седан,януари 2018 г.,Audi A4 Бензин,252 к.с,Автоматична,,144714 км,,,,,,,,,,,,,,,
94336547,Mazda CX-9 * GT 7PASS/LEATHER/SUNROOF/NAVI/L/ASSIST/CAMERA,"50 100 лв. - 25 615,72 €Цената е с включено ДДС",https://www.auto.bg/obiava/94336547/mazda-cx-9-gt-7pass-leather-sunroof-navi-l-assist-camera,Mazda CX-9,50 100 лв.,Употребяван,Джип,януари 2021 г.,Mazda CX-9 Бензин,227 к.с,Автоматична,,56718 км,,,,,,,,,,,,,,,
